index,review_index,study_id,study_name
487,136,STD-Kim-2012,Kim 2012
488,136,STD-Kwakkel-2008,Kwakkel 2008
489,136,STD-Stephenson-2004,Stephenson 2004
490,137,STD-Cherkin-2011,Cherkin 2011
491,137,STD-Zheng-2012,Zheng 2012
492,138,STD-Khanna-1997,Khanna 1997
493,139,STD-Garbutt-2013,Garbutt 2013
494,139,STD-Geelhoed-1996a,Geelhoed 1996a
495,139,STD-Parker-2019,Parker 2019
496,140,STD-Baharvand-2010,Baharvand 2010
497,141,STD-Sangdee-2002-_x002a_,Sangdee 2002 _x002a_
498,141,STD-Sangdee-2002-_x002a__x002a_,Sangdee 2002 _x002a__x002a_
499,141,STD-Scharf-2006,Scharf 2006
500,141,STD-Tukmachi-2004,Tukmachi 2004
501,142,STD-Alda-2011,Alda 2011
502,142,STD-Ang-2013,Ang 2013
503,142,STD-Fontaine-2010,Fontaine 2010
504,142,STD-Jensen-2012,Jensen 2012
505,142,STD-Jones-2012,Jones 2012
506,142,STD-Liu-2012,Liu 2012
507,142,STD-Wang-2010,Wang 2010
508,142,STD-Williams-2010,Williams 2010
509,143,STD-MRC-1985,MRC 1985
510,143,STD-MRCOA-1992,MRCOA 1992
511,144,STD-Alo-2014,Alo 2014
512,144,STD-Campbell-2008,Campbell 2008
513,144,STD-Isenring-2004,Isenring 2004
514,144,STD-Pivi-2011,Pivi 2011
515,144,STD-Sharma-2017,Sharma 2017
516,144,STD-Wong-2004,Wong 2004
517,144,STD-Wyers-2013,Wyers 2013
518,145,STD-Sontag-2010,Sontag 2010
519,146,STD-Smeets-2006,Smeets 2006
520,147,STD-Hantsoo-2013,Hantsoo 2013
521,148,STD-Gross-2009,Gross 2009
522,149,STD-Ling-2005,Ling 2005
523,149,STD-Ling-2009,Ling 2009
524,149,STD-Sigmon-2013,Sigmon 2013
525,149,STD-Wright-2011,Wright 2011
526,149,STD-Ziaaddini-2012,Ziaaddini 2012
527,150,STD-Carson-2011,Carson 2011
528,150,STD-Carson-2013,Carson 2013
529,150,STD-DeZern-2016,DeZern 2016
530,150,STD-Gobatto-2019,Gobatto 2019
531,150,STD-Gregersen-2015,Gregersen 2015
532,150,STD-Jairath-2015,Jairath 2015
